,FILENAME,OBJECT,FILTER,IMAGETYP,DATE-OBS,EXP-TIME,JD
244,LDST_250430-0001_Bias.fit,LDST_250430,,BIAS,2025-04-30T18:22:10.41,,2460796.265398264
76,LDST_250430-0002_Bias.fit,LDST_250430,,BIAS,2025-04-30T18:22:12.85,,2460796.2654265044
146,LDST_250430-0003_Bias.fit,LDST_250430,,BIAS,2025-04-30T18:22:15.04,,2460796.2654518518
91,LDST_250430-0004_Bias.fit,LDST_250430,,BIAS,2025-04-30T18:22:17.40,,2460796.2654791665
18,LDST_250430-0005_Bias.fit,LDST_250430,,BIAS,2025-04-30T18:22:19.72,,2460796.2655060184
273,LDST_250430-0006_Bias.fit,LDST_250430,,BIAS,2025-04-30T18:22:21.98,,2460796.265532176
215,LDST_250430-0007_Bias.fit,LDST_250430,,BIAS,2025-04-30T18:22:24.31,,2460796.2655591434
218,LDST_250430-0008_Bias.fit,LDST_250430,,BIAS,2025-04-30T18:22:26.57,,2460796.265585301
272,LDST_250430-0009_Bias.fit,LDST_250430,,BIAS,2025-04-30T18:22:28.75,,2460796.2656105324
183,LDST_250430-0010_Bias.fit,LDST_250430,,BIAS,2025-04-30T18:22:31.00,,2460796.265636574
235,LDST_250430-0011_Bias.fit,LDST_250430,,BIAS,2025-04-30T18:22:33.31,,2460796.2656633104
61,LDST_250430-0012_Bias.fit,LDST_250430,,BIAS,2025-04-30T18:22:35.56,,2460796.265689352
135,LDST_250430-0013_Bias.fit,LDST_250430,,BIAS,2025-04-30T18:22:37.81,,2460796.2657153937
275,LDST_250430-0001_dark.fit,LDST_250430,ND1.2,LIGHT,2025-04-30T18:22:41.62,,2460796.265759491
22,LDST_250430-0002_dark.fit,LDST_250430,ND1.2,LIGHT,2025-04-30T18:27:44.55,,2460796.269265625
88,LDST_250430-0003_dark.fit,LDST_250430,ND1.2,LIGHT,2025-04-30T18:32:47.21,,2460796.2727686344
241,LDST_250430-0001_hflat.fit,LDST_250430,H_alpha,FLAT,2025-04-30T18:44:34.30,,2460796.2809525463
270,LDST_250430-0002_hflat.fit,LDST_250430,H_alpha,FLAT,2025-04-30T18:44:44.86,,2460796.2810747684
265,LDST_250430-0003_hflat.fit,LDST_250430,H_alpha,FLAT,2025-04-30T18:44:55.19,,2460796.281194329
285,LDST_250430-0004_hflat.fit,LDST_250430,H_alpha,FLAT,2025-04-30T18:45:05.66,,2460796.281315509
277,LDST_250430-0005_hflat.fit,LDST_250430,H_alpha,FLAT,2025-04-30T18:45:15.97,,2460796.281434838
28,LDST_250430-0001_RFLAT.fit,LDST_250430,R*,FLAT,2025-04-30T19:16:52.57,,2460796.3033862268
1,LDST_250430-0002_RFLAT.fit,LDST_250430,R*,FLAT,2025-04-30T19:17:02.96,,2460796.3035064815
8,LDST_250430-0003_RFLAT.fit,LDST_250430,R*,FLAT,2025-04-30T19:17:13.35,,2460796.303626736
59,LDST_250430-0004_RFLAT.fit,LDST_250430,R*,FLAT,2025-04-30T19:17:24.66,,2460796.3037576387
73,LDST_250430-0005_RFLAT.fit,LDST_250430,R*,FLAT,2025-04-30T19:17:34.79,,2460796.3038748843
154,LDST_250430-0001_GFLAT.fit,LDST_250430,G*,FLAT,2025-04-30T19:19:36.31,,2460796.3052813658
144,LDST_250430-0002_GFLAT.fit,LDST_250430,G*,FLAT,2025-04-30T19:19:46.74,,2460796.3054020833
133,LDST_250430-0003_GFLAT.fit,LDST_250430,G*,FLAT,2025-04-30T19:19:57.43,,2460796.30552581
112,LDST_250430-0004_GFLAT.fit,LDST_250430,G*,FLAT,2025-04-30T19:20:08.32,,2460796.305651852
107,LDST_250430-0005_GFLAT.fit,LDST_250430,G*,FLAT,2025-04-30T19:20:19.46,,2460796.305780787
12,LDST_250430-0001_BFLAT.fit,LDST_250430,B*,FLAT,2025-04-30T19:25:58.30,,2460796.3097025463
5,LDST_250430-0002_BFLAT.fit,LDST_250430,B*,FLAT,2025-04-30T19:26:09.25,,2460796.3098292826
